Comments,Label
مه واری برق لچ باشه ,1
بلی همتو یکی برق لچ باشه      ,1
بلی اونم خیلی زیاد,1
راست گفتی,1
موفق باشین انشاالله,1
بگی جوس   تشنه نشی,1
ما بخیر بعد از روز دوشنبه رخصتی میکنم زنده باد نماینده ما              ,1
"دوران مکتب بهترین دوران بود
البته بدون ارزیابی کارخانگی دیدن اش",1
یاد مکتب بخیر چطور خوب از دل خود رخصتی می کردیم,1
بهترین دوره اس متعلمی ,1
شکر مه خو انتخابات باشد یا نباشد رخصت هستم         ,1
"از ما خو به دو هفته رخصت شد خاطر انتخابات
۲",1
"از ما خو به دو هفته رخصت شد خاطر انتخابات
۲",1
بهترین دوره اس متعلمی ,1
شکر مه خو انتخابات باشد یا نباشد رخصت هستم         ,1
طفلک هاره بان رخصتی کنه  ,1
مکتب رخصت نیست  ,1
ما خو روز های شنبه رخصت استیم    ,1
یاد مکتب بخیر چطور خوب از دل خود رخصتی می کردیم,1
گپ راست      ,1
ما بخیر بعد از روز دوشنبه رخصتی میکنم زنده باد نماینده ما              ,1
نی میرم,1
ولا اگه مکتب رخصت باشه خیلی خوب میشه,1
شکر ساعت ما خوب تیر میشود,1
زنده باد انتخابات   ,1
بهترین  دوره زندگی  زمان متعلمی و محصلی است   پشت آن روز ها دق شدیم    ,1
" آویزان چطو
.
.
.
خو فامیدم آویزان کشال بودن ره میگن خوبست که به سیم چارچر کشال هستیم یا به قول شما آویزانیم  ",1
گل گفتی,1
ملکه بهار  راست میگه,1
مه ازهیچ دوستم ناراحت نیستم هما پشتی سه بهترین دوستم خیلی خیلی دیق شدیم متصی فانه نمیتانم همرای شان کپ زده یا مسچ کده هما خیلی دوست دارم,1
عالي وقتي جنگ کني ارسال پيام سنگيني مي کنه,1
"میخواهم با دوست دختر هایش خوش باشد مزاحمش نمیشم
زمان ثابت خواهد کرد که هیچ یکی من نمیشم   ",1
آری است اما باز هم دلم نمیشه منشنش کنم  ,1
آه وله امتور اس  ,1
"همرایش,قار بودم اما خودش برم زنگ زد    ",1
حقا که غمش از خودش وفادار تر است ,1
"ناراحت بودم اما شکر اشتی شدیم البت همتو میشه بین مام 
زحل جانم",1
بلی دقیقا بار ها کوشش میکنم اما بعدن فکر میکنم که دیگه نیس     ,1
Neda BorKan ناراحت بودم پس صلح کدیم  ,1
 پیش تر جنگی بودم پس آشتی کردم,1
"ناراحت بودم اما شکر اشتی شدیم البت همتو میشه بین مام 
زحل جانم",1
پیام بازی کار خوب نیست زنک زدن خوب است  ,1
"همرایش,قار بودم اما خودش برم زنگ زد    ",1
آه وله امتور اس  ,1
نمیشم خفه از کسی ,1
"او جانم ادمین همرای ای پوستت  
واقعا مخاطب داره برم فقط استوری هایش را لایک میکنم بس",1
چی پست خوبی برای برادران ناراضی ما  ,1
هیچکس شکر خدا,1
خدا را شکر از هیچ کسی نا راحت نیستم,1
Raes Elham یادش بخیر یک وقت همتو بود   ,1
بانیش به حال خودش  ,1
با عشقم  ,1
از هیچ دوستم خدا ره شکر قهر نیستم خدا کنه دوستایم هم ازمه قهر نباشن ۰,1
با هیچکدامش شکر,1
زندگیم   ,1
 نمیشـم خفـه از کسـی  ,1
روحش شاد یادش گرامی  ,1
کسی که زندگیم بود . ماندم تا زندگی کس دگه شود   ,1
Samim Habibiبزرگی کدم,1
"اگر یک کمی هم حرمت یکدیگر خوده حفظ کنیم خیلی خوب میشه
سر هرچیز نمیشه که ریشخند بزنی یک کمی باید متوجه باشیم",1
توهین خوب نیست ,1
صافي صاحب  فقد به مزار شريف تشريف بيار ما به خدمت هستيم,1
بلی خیلی خوشمزه است چند وقت پیش خوردم در مزار جان قابل تعریف را دارد  ,1
واقعا خوش مزه زیاد دق شدیم پشت شیریخ مزار جان و رنگ آبی روضه شریف ,1
Sofia انشاالله هر وقت آمدم میریم    ,1
بیا جان خواهر که ببرمت شیریخ خوردن,1
وله راست میگی به خدا او هم شریخ تاشقرغان خیلی خوش مزه است ,1
Ferdows Mohmandمنتظر باش زود میایم بخیر باز استیم بیدرم,1
جانم هستی بزرگواریته  بیبینم چند روپگی برم میخری Sadaf Yashar منتظرم گل دخترک مزار   ,1
بدون شک بهترین است ,1
Sofia انشاالله هر وقت آمدم میریم    ,1
وله راست میگی به خدا او هم شریخ تاشقرغان خیلی خوش مزه است ,1
بیا جان خواهر که ببرمت شیریخ خوردن,1
Hussain AliZada مزاری ها گشنه نمیباشن بینی مسکا ره نبری مقسط   ,1
بخیر مزار که امدم یک شیریخ میخوریم Prince Ozair,1
Nasim Ameni اینه توطه جگر,1
Khatm SakhiSakhiجگر او,1
"بدون شک  
  ",1
بلی واقعا سر است,1
تاپ است,1
"AQ H Lucky
بیه اینجا 
بنظرم مزه دار مالوم موشه",1
به افتخار خودما,1
واقعا خیلی خوشمزه است  ,1
مزار جان هر چیز اش خوب است  ,1
بیا بخیر  ,1
"Masouda MJ Joya
جوره جان   
 ",1
Zabiullah Aimaq چطو راست است   ,1
شادخت شیرین اوكي,1
از بیکاری کده امی چای و فیسبوک خوبه,1
هههههه از هیچ کرده بازم چای و فیسبوک خوب است,1
شکر است,1
Afifa Azeen Sadaf Aziz Sayar چای بی چاکلیت مگر با یک عالم عشق و زیبایی    ,1
ههه چتی بهترینش اس   ,1
ههه چتی بهترینش اس   ,1
همی فقیرانش بهترس ,1
همی چهارمش بهترین,1
زنده باد چای و فیس  ,1
همی چهارمش خوبش است ,1
"جوره نداري رفيق جان     
.
.

#رشيدى  ",1
استعداد شما قابل قدر است    ,1
خوبش   ,1
نام خدا همه استعداد خدا برتو مانده  ,1
بسیار خوبش اس استاد فتوشاپ استین  ,1
سر یو غیر از مسکا# دگه کس کبر نکده ولا  ,1
خوب شد گفتی که فوتوشاپ است,1
بسیار فوتوگرافر موفق هستی ای ایدیت کدنت جهانی شد,1
خوبش   ,1
"خدا یارت نان ره برت حلال ڪدے 
حااالی اوقسم نفر پیدا نمیشه ڪه برت بگہ حیف نان ",1
گل گفتی وله,1
هی خیر بیبینی,1
امی گپ ات مرا هم گرفت,1
همرای خوهرهایم برادری دوست داشتنی وهم همرای عشقم اینا همیشان باشه سفرخیلی خوش میگذره,1
ا احمد احمد میخواهم با تو قله هایی بلند ره فتح کنم لالا,1
این مهم نیست که با عشقت بری جای وسفر دوری داشته باشی زندگی خودش سفر تلاش خودرا کن که دراین سفر با اون همسفر خوبی باشی دوستم,1
Prince Hamed بریم لالا یکجای دور که غم دنیا نباشه اونجه,1
فیکس تنا ایتو مزه میته ههههههه,1
Haji Omar کت اینی جگر طلایی خود    ,1
Faranak Abteen پشت چکرهایی که میزدیم دق شدم,1
"نوازش تنها
میخواهم همرایت یک سفر طولانی داشته باشم دور از دغ دغه های زندگی",1
همرای بهترین فرد زنده گیم      M/E/     ,1
برای کسی که حالا مصروف دختر ها است آرزو دارم   خوش باشه برم کافیست,1
Sahil samim همرای اینی عسلی گکم  ,1
"Mursal Rassa بیا همی سیر علمی ره از قلم نندازیم 
ساعت ما تیر میشه بچیش    ",1
Basit Rasa میخایم تمام عمر باتو یک سفر طولانی داشته باشم که هیچ  تمامی نداشته باشه  ,1
فیکس تنا ایتو مزه میته ههههههه,1
این مهم نیست که با عشقت بری جای وسفر دوری داشته باشی زندگی خودش سفر تلاش خودرا کن که دراین سفر با اون همسفر خوبی باشی دوستم,1
همرای خوهرهایم برادری دوست داشتنی وهم همرای عشقم اینا همیشان باشه سفرخیلی خوش میگذره,1
میخواهم با فامیلم  پدر جان مادرم جانم  دوست که همیشه از شان دور هستم   همرای دوست های عزیزم که همه شان نور چشمم است,1
باااا تمام زندگیمـ میخام یک سفر بریم که دیگه هیچ وقت از پیش هم دور نشیمV  ,1
Helal Musafaهمرای همی آدم حاضراستم به دوزخ ام بروم,1
ﻗﻨﺪﻭﻟﻚ ﻣﺰاﺭ 100%,1
عبدالقیوم زاهد میریم بخیر خارج از کشور,1
Maiwand Danish میخام یک سفر خوب باهم داشته باشیم,1
مه و تو میریم بخیر دوباره سویدن او هم د موتر Ahmad Ali Zada,1
"Karimbakhsh Rasulli Farzad Helal Taraki  کل صنفی ها مکتب  باشد .
چقدر مزه میته          ",1
Shaer Aziziلالاجانم,1
Hasib Ullah Ali Zadaانشالله بخیر,1
با زندگیم با عشقم با قهرمانم  ,1
"Ro Na
همرای اینمی  جگر    ",1
با آرزو جان یکدانه خواهر,1
"مه قت ای کی جان   

IBrahim 

او شیمه  دلم   ",1
..ب.. با خودم,1
"Mehria Shirzad
یک سفر طولانی 
مثلا طرف بهشت    ",1
مهتاب یکتا باتو میخوایوم جانم,1
انشاءالله همرایش سفر دارم ,1
"باش چرت خوده بزنم
.
.
.
.
.
اوتو نفر پیدا نشد  ",1
Paresa Nooriمیرم بخیر یک روز چکر انی,1
"وله امی تنهایی لذت بخش است 
خودم تنها میرم. خخخخخخخ",1
جانم فدایت بیدرم  بابه خالد,1
تنهایی بهتره  ,1
تشکر. جانم.     ,1
"Hameed Shamsi
همرای استاد بزرگوار ج جان    ",1
"شهزاده پدر 
جانم استی یک سفر طولانی میکنیم            ",1
AsOo Sadeqi ميرى همرايم خواهر قندم,1
"Ali Amini
همرای عزیزترین شخص زندگیم  ",1
انشاالله اره بخیر میریم,1
تنها خوب هست,1
با همسر عزیز مهربانم    ,1
"Muzhdah Ghafori Sulimanzada 
بسیار یک سفر طولانی بدون خسته گی میخواهم همرایت داشته باشم    ",1
تنهایی بیشتر مزه میته  ,1
"Aiy SanAm
مصطفی حیاتان
همیش میخاهم شماره د پهلویی خود",1
"Mustafa Farahmand
 رفیقا تهی جهنم   هم در ای 
دنیا و هم در آخرت باهم هستیم.",1
همرای عشقم Banoo Yakta   ,1
از برکت مهمان امروز یگان چیز مزه دار شاید بخوریم  ,1
برنج نان عسکری داریم هرکی نوش جان میکنه در خدمت,1
پاچه دست پخت مامان گلم  ,1
ههههههههههه پدر هاهمتو  محبت خوده نسبت به اولاد خود  نمایان نمیکنن  مگم خیلی مهربان هستن ,1
خوب تجربه داری ,1
خوب آدمی با تجربه معلوم میشی جناب ادمین,1
ده هر بخش تجربه داری ولا تو یک دانشمند افغانی استی هههههههه,1
تجربه کردی,1
ها بخدا گل گفتی,1
ده تجربه نمبر اول استی   ,1
ده تجربه نمبر اول استی    ,1
تجربه کردی,1
      عجب کیفی داره,1
"امان از تجربه  
این حالت را حتما تجربه کردین   ",1
چقه تجربه تو زیاد است...,1
 ولا راست اس  ,1
خوب تجربه داری ,1
راست ميگی ولا  ,1
و مقبول ترین بلاک کردن نادیه گرفتن است    ,1
 زیبا,1
آفرین که تو ایقه گپ ره میفامی مسکال    ,1
"3   4    5 
همی هر سه ره دوست دارم و همی رقم هم میباشم",1
1 2 3 4 5 6 استم و خوشم هم میایه,1
خودم اول هستم وهمی اول خوشم میایه,1
دو   و پنج خوشم میایه,1
1.3.4.5 همتو هستم وخیلی عالی هم اس,1
4استم و 3ره خوش دارم,1
دوم استم دوم خوش دارم 2,1
1 2 3 4 5 6  خوشم میایه,1
1111111111  خوشم میآیه,1
هیچکدام مه مقبول استم ,1
ماشاالله,1
Soya Jan راستی همی قسم است هر بار میگی میریم چکر باز نمیری ,1
"Dr Hana Drs Hena Habibi
بیخی صدفیصد راست اس",1
Abudin Kazemi ای جوان بیخی خودش است,1
ریس عمر مجاهد  جانم استی  رفیق چشم دشمنا کوررر,1
PriNce Omidای کار همیشه گی تو اس  ,1
شاید همو کار خیرش باشه,1
"باهوش و قوی 
می بخشم و میگذرم",1
می بخشم ولی هیچگاه فراموش نمی کنم,1
آفرین,1
مه قوی استم به آسانی. میبخشم,1
قوی ,1
قوی  ,1
من همیشه هر گناه که میکند با یک معذرت خواستن میبخشم اما بسیاری وقت های شده بدون معذرت خواستن هم بخشیدیم,1
میبخشم,1
نادیده میگیرم و می بخشم..... ,1
آخریش صحیح گفتی موافقم با گپ خودت هههه,1
از همه کرده خودت کار خوب میکنی  ,1
باهوش,1
   باهوشم,1
تا گزینه سوم سخن انشتین بود بعدش از خودت بیشک,1
مه قوی استم به آسانی. میبخشم,1
آفرین,1
تو بهترین  کار میکنی ,1
از همه کرده خودت کار خوب میکنی  ,1
   باهوشم,1
میبخشم و مگذرم ,1
تو از کلشان کرده هوشیار استی هههههه,1
میبخشم  ,1
میبخشم,1
خوب میکنی  ,1
خخخخخخخخخخخخخ خوب میکنی,1
تو نابغه  ,1
قوی ,1
قوی  ,1
مه میبخشم,1
حسن آقا فیاض هههههه مامای جان امی خو راست گفته,1
راست است  Zakerhussain Fawad,1
هم داکتر هم مقبول   Neda BorKan  ,1
حبیبه جانم  هم داکتر و هم در مقبولی خو جوره نداره,1
هم دختر مقبول هم داکتر مقبول,1
Sadaf Mehriراست میگه داکتر عزیز,1
دقیقأ تمام داکتران جذاب هستند .,1
"Amena Samand
گرچه تا حال همدیگر را ندیدم اما مطمین هستم که خیلی مقبولک و جذاب هستن داکتر مقبولم ",1
Ali Ghulamiاینمی دختر بسیار جذاب است وهمچنان داکتر است,1
Sara Rahmani  همه ما بهترین داکتر های ناز  هستیم انی ,1
Dr.Farima Anwari ﻫﻢ ﺩاﻛﺘﺮ ﻫﻢ ﺟﺬاﺏ,1
ﺗﻤﺎﻡ ﺩاﻛﺘﺮﻫﺎ ﺟﺬاﺏ اﺳﺘﻦ,1
بیخی راست ګفتین مثل همسرجان مه  ,1
Sara Rahmani  همه ما بهترین داکتر های ناز  هستیم انی ,1
Sadaf Mehriراست میگه داکتر عزیز,1
هم دختر مقبول هم داکتر مقبول,1
Hamida Rezayﻋﺰﻳﺰﺩﻟﻢ,1
"کو منشن کنین ببینیم 
دختر مقبول و  بعد اش داکتر 
زن نعمت خداوند است و اینیش بعد بیخی نعمت الله میشه بخدا.",1
شادخت پدرش,1
عالی عزیز,1
"Faroo Sahil
داکتررررررررررررررررجان                   ",1
"Şahnaz Abdlmatin
یکی از داکتر صاحبان مقبول    ",1
"Naser Malik
ده عینگ هایت نفس",1
داکترجان  ,1
وله خوب گپ گفتی,1
دقیقٲ مٽل نفسکم Nazligak Naz  ,1
مه میگم چطو مقبول استم   ,1
Nilofar Najmi ممنون دوست مقبول من,1
Laleh Mardan خواهر نازدانه مه    ,1
Ajmal Safi  بیجوره است,1
"نگین الماس نگین
خواهر مه هم داکتر است هم مقبول",1
"Nasiba Jooya Zaher
Maryam Zaher Taheri
Marzia Zaher
Meena Manochehr
عزیزدل هستن به وجود شان افتخارمیکنم و خوش هستم که دوستهای خوبی مثل این عزیزان دارم",1
"Mushabi Khushi Azizi
 Noda Ghaznawi
دو دانه اش هم جگر های مه استن",1
MeSbah Taheri تبریک ,1
تشکر Deyar Jan ,1
"از مام اگه سلطان کوچیک شاهدی نته با دستم 

راست بهشت هستم",1
"فقط خداوند بدو شهادت آن ها نمیدانه 
اونا بخاطر که تو شرمنده شوی و انکار نکنی شهادت میتن اگنی الله به همه چیز دانا اس ",1
همرای آب سرد بشوی به صحتت فایده داره   ,1
ﻗﻨﺪﻭﻟﻚ ﻣﺰاﺭ,1
از ما هست شکر,1
از ما خو شکر است,1
از ما خو شکر هیچ نمیره   ,1
ني است   از  ما شكر,1
از ما خو شکر هیچ نمیره   ,1
"بدون بوت و چپلي هاي بلند اينقه قدوگك هستن   
.
.

#رشيدى  ",1
شرایط برای شان مهیا گردد  کمتر از پسرها  نیستن .,1
بدون آرایش مقبول بودن  ,1
بدون لوازم آرایشی زندگی کردن,1
دختر همه کارهاره انجام داده میتانن ضرورت به حمایت دارن,1
دختر ها همه چیز را انجام داده میتانه,1
"يک دختر خانم هر کارى کرده ميتانه اګر همايت شوند 
اګر يک مرد همرايش ايستاده شوه و مسووليت خود را مثلى يک مرد واقعى انجام بته هيچ کارى براى يک دختر خانم سخت نيست.",1
دختر ها همه چیز را انجام داده میتانه,1
ما بدون آرایش گشته میتانیم   ,1
دختر همه کارهاره انجام داده میتانن ضرورت به حمایت دارن,1
"خلاصه کارای دخترانه گی خوده کده می تانن 
حالی کم کم دست درازی دارن   ده کارای بچه گانه هم تنها از بابت لباس خلاص دگه",1
بدون آرایش مقبول بودن  ,1
صبحکی وقت که بیدار شد نیم ساعت قد سالار جنجال ندارن,1
وله حالی ایتو چیز نمانده که دختر نتانه,1
"این سوال را شیخ گوگل هم جرات کرده جواب داده نمیتواند. 
پس خلاصه..دخترها قادر به هر کار هستن   ",1
اخلاق خوب   ,1
بدون ارایش گشتن خو مشکلی نداره,1
با وفا بودن    ,1
شکر خدا که یک دختر استم برای پدرم تاج سر برای مادرم همراز برای برادرم غرور برای خواهرم هم نفس برای همسرم زندګی برای اولادم بهشت باز هم شکر,1
با انسانیت رویه کردن,1
ارایش کدن خخخخ,1
نگاه کدن راز   ,1
خرابات نیستن,1
با وفا بودن,1
هههه دختر هر کار استن,1
"مرد تا مرد است 
بازهم الله هدایتشان کنه و به همو یکی قناعت داشته باشن",1
حال چی بیاب شان کنیم خداوند هدایت بتیشان,1
"چون چهار تا روا است 
And he should have a back up plan in his life     ",1
درست است اما شاید بردعکس بیشتر باشه,1
چيزي نيست كه دل ما را بزنه ههه,1
ههههههه و بچه مردم از خواهر های شما چطو  چون ای گذر زمان است اطمن چیزی را که کشت کنی درو میکنی,1
"پاک ترین قلب را پسر ها دارن 
",1
هااا بخدا صد فصد امتو هستن از ای کرده نتها باشن دخترا   ,1
خصلت مردا ها هر چی که رسید سر امو گزاره می کنن,1
همه پسرا نی البته بعضی بلحوس هایش ایتو هستن,1
همه پسرا نی البته بعضی بلحوس هایش ایتو هستن,1
ههههههه و بچه مردم از خواهر های شما چطو  چون ای گذر زمان است اطمن چیزی را که کشت کنی درو میکنی,1
خصلت مردا ها هر چی که رسید سر امو گزاره می کنن,1
Mkm Taha فکس کمپنی توره گفته ولا,1
چيزي نيست كه دل ما را بزنه ههه,1
سا دروغ  من به یکیش قانع ام ما دور ,1
خوب است دگه,1
 از یک کده دو از دو کده سه از سه کده چهار دانه  بهتر است  ,1
"چهارتا حق داره 
هالا هم ګوزاره کده",1
خوب میکنیم,1
خدا هدایت شان کنه یا همی رقم ده نصیب شان کنه   ,1
این عادت شان خیلی خوبش   ,1
بچه هست دگه گنایش نیست   ,1
خداوند هدایت کنی شان,1
ههههههههههه ما قانع استیم,1
خوب میکنن  ,1
"بلی ها  
نان گندم و دختر مردم       
 چیزی است
 که پسرا ازش سیر نمیشن  ",1
خوبست که خودتان میگین,1
ها امی گپت راست است بخدا,1
نوش جان شان     ,1
شرایط خراب است زیاد باشه عالی است,1
ولا راستی گفتی,1
خوب می کنیم  ,1
خداوند صبر دل نصیب شان کنه هههههههه,1
بی کبر هستن و قلب کسی را نمیخاین بشکنن ,1
از   یک کده دو خوب است,1
هر چی بیشتر بهتر,1
زنده اباد خود ما  ,1
Sami Ahmadi بیخی بتو گوفته,1
Kan Shka قناعت کردم,1
"M Yunes Jalalzada
یک تا بس است لالا",1
خدایا خیر شکر که قدو نیستم  ,1
موهایم دراز است,1
بی آرایش است آرایش کنه خوبش میشه,1
خدایا خیر شکر که قدو نیستم  ,1
ههههه شکر  که قدم  کوتا نیست,1
Fatema Popal  ههههههه منظور بدی ندارم,1
بسیار مقبول دگه ههههههه,1
Wasim Khan   زياد مقبول است,1
ﻗﻨﺪﻭﻟﻚ ﻣﺰاﺭ,1
"Armaghan Azka
   
ناز استی دگه",1
"Tabassom Rezaei
درمقبولی شان شک نیست",1
شادخت سرشار,1
"Fardina Mohmand
Ba Din Asal
Maryam Mehrzad
Pâr Yaâ
Qazal Sahily Maqror
بیاین از م تعریف کنین    ",1
چقدر خب,1
    خوبت میشه,1
ههههه خوب شد گفتنت,1
ههه بیشک ولاا یکی تا ای حد تحمل ات کده,1
"خوش امدي صفا اوردي خسته نباشي    
.
.

#رشيدى  ",1
"خوش آمدی مستقیم د قلبم 
#حنفی",1
بخیر بخیر,1
خوش آمدین,1
"خوش امدی. 
چشمهایم بالای قدم هایت.   ",1
خوش آمدی,1
خوش آمدی خوب است یک دختر آدمین شد باید یک دگه دختر هم آدمین شوه که مساوات برابر باشه   ,1
خوش آمدی  ,1
نوش جان حنفی یک یک ماه بعد چنج میکنه مچم چی هنر داره کاش مه هم میداشتم ,1
خوش آمدی,1
نوش جان حنفی یک یک ماه بعد چنج میکنه مچم چی هنر داره کاش مه هم میداشتم ,1
اووووصدقه,1
خوش آندی,1
خوشم اومدی,1
خوش آمدین,1
عشقم,1
خوش آمدی,1
یک همی را کم داشتیم  ,1
"خوش امدی. 
چشمهایم بالای قدم هایت.   ",1
خوش امدی,1
"خوش امدی 
بیا یک مهمانی بتم ات ادمین جان 
    ",1
خوش آمدی دختر خاله,1
خوش آمدی,1
شوخ باشی ما خوش استیم ,1
خوش امدي قدم هايت بالاي خاك ,1
مسکه خش امدی    ,1
بسیار خوش آمدی,1
"خوش آمدی 
مسکا ..",1
خوش آمدی,1
خوش آمدی مسکه جان ,1
خوش آمدی,1
خوش باشی,1
افرین  ,1
Omer Afghan خوش اس,1
خیلی ها عالی واقعا  ,1
بریم   مه خواستگاریش میکنمک برت ...   ,1
ازمام همتو بود دیوانه ما کده بود خداره شکر که برق جور شد,1
"Razmohammad Rahimi
خوب شد از صدای همی جنراتور همسایه بی غم شدیم",1
دوست عزیز,1
تشکر که کمنت مرا میخوانی,1
تیت جانیم,1
زینت جان قند مامای خود,1
اسوه جان    عزیزدل,1
هزاران بار شکر گذارم از خدای بی نهایت مهر بانم بلی دارم مال خدا جانم قند مادر خود حدیثه جانممم      ,1
"خواهرزاده ام 
عمران جان ",1
شهیر جان نفس کاکا,1
ماشاالله جوده هم گوزل وچرایلی عبدالکریم جان,1
مصور جان,1
محمد جان Mohammad jan              ,1
"   
جیگر تمام فامیل های ما بی بی  زویا   ",1
"کیانوش جان 
نفس پدر خود",1
بلى داريم برادرى قندم مطهر جان  ,1
جیگر پدر خود یوهان جان,1
هزاران بار شکر گذارم از خدای بی نهایت مهر بانم بلی دارم مال خدا جانم قند مادر خود حدیثه جانممم      ,1
جيگر مامايش همي هس,1
جیگر پدر خود یوهان جان,1
این هم جیگرک خالیش,1
"دارم ولی حالی ازش دور استم
#مسافری ",1
بلى داريم برادرى قندم مطهر جان  ,1
ناز عمه يش   ,1
ماشاالله جوده هم گوزل وچرایلی عبدالکریم جان,1
"بیدر خوردم عاشق اس 

از غم عشقش همیتو شده ",1
توته جیگرم   ,1
هیله بهار جانم,1
جیگرخانه خودم استم ,1
از اى بهتر نه خواهد باشه,1
عا جگر را بان نفس هستن,1
"آصف جان 
بیدرم",1
ها بیدر زده قندم,1
نفسم  ,1
کامران جان,1
سما جان قندول  قند و شرین و نبات مامایش  ,1
شهزاده مادر,1
جان چقه قندول است حیف که دخانه نداریم ایقسم قندول      ,1
اینه جیگرک خاله جان خود,1
   ماشاالله خداوندج عمر طولانی نصیبش بگردانه,1
قندولک مه ,1
اخ قند پدر,1
جگرک مه قار کده   ,1
جگرکم,1
قندولک عمه خود  ,1
بلی . هزار بار شکر .    ,1
نفسم   ,1
فرزاد جان ناز,1
جگر مامایش,1
وای جگرک خاله ره صدقه       ,1
اینه ناز ما,1
قند کاکایش,1
اینه جیگرک مه,1
اینه جگرکم,1
ایره میگن جیگرزندگی,1
بلی شکر خدا    ,1
ما عسلک داریم,1
یوسف جان قندول,1
اینه جیگر خودم,1
جیگرک کاکایش ابوبکر جان,1
شکر,1
"ایمل جان 
بهروز جان",1
نفس کاکایش  ,1
نوید جان قند جیگرک خالیش  ,1
تابش جان,1
ماشاءالله مقبولک jan,1
صفت الله,1
نفسک کاکایش My Hero   ,1
جان کاکایش,1
جگر مه   ,1
جان کاکایش ,1
جان لالایش,1
نی خودم جیگر استم  ,1
آرین جان لالاگگ,1
تشکر,1
شکر  ,1
تشكر      داريم شكر,1
به حق انجنران و سربازان دعا را فراموش نکنین لطفا ار برکت انها امشب کابل کابل جان بار چراغان است,1
ما برق داریم شکر,1
ما داریم شکر,1
کابلیان عزیز خیرات کنن که باز برق های تان نرود ههههههه,1
هههه تشکر,1
ممنون,1
شکر ما خو همیشه داریم,1
ما هم برق داریم شکر  ,1
شکر ما داریم برق,1
ها شکر,1
شکر نزدیک ریاست جمهوری برق داریم       ,1
هههه تشکر,1
از ما خو است شکر,1
ها شکر,1
تشكر      داريم شكر,1
تشکر,1
در دنیا از بی برقی بدم میایه خدایا شکر برق ما 24 ساعته است,1
تشکرزنده باشی چشم دوستاروشن  ,1
شکر از ما آمد,1
شکر ما خو از برق مستفید شدیم,1
برق ما که جور شد  شکر ,1
به شما هم تبریک برق های ما خو امد,1
نوبتی مگر جورش نکدن ,1
نظر به خوش کدن است,1
بدون شک,1
درست گفتی,1
درست گفتی,1
عا وله راس میگی  ,1
نظر به خوش کدن است,1
"باز نام خدا چقه مقبول شدیم بعد از دو هفته حمام کدیم  
#حنفی",1
بسیار عالی,1
چقدر مقبول,1
قهقهقهقههققهقه چقدر مقبول و سياه   ,1
الا الا فقط بگویی کمال کدی که قطعه سیاه و تاریکته ماندی به همه افتخار بخشیدی    ,1
شیک,1
چقه مقبولی ,1
"    , چقه قندول  استى",1
اوووو خدای مه چقه مقبول هستی او بلا  ,1
نامخدا چهره شهید هاره کشیدی,1
